mice_ID,deprivation_duration,estrous_stage,state_before,retrieval_before_latency,state_before_comment,1h_food_consumption_before,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment,exp_date,,,,,,,,,,,,,
BRAC6691.6g,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC6692.6i,120,,,,,,Agg-,,Parental+,,,,,,,,,,,,,,,,
BRAC7110.1h,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC7110.1i,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC7110.1j,120,,,,,,Agg+,423,,,,,,,,,,,,,,,,,
BRAC7193.1a,120,,,,,,Agg+,277,,,,,,,,,,,,,,,,,
BRAC7229.1e,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC7229.1f,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC7229.1g,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC7229.1h,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC7229.1i,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC7229.1j,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC7229.1k,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC7229.1l,120,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC6486.8e,240,,,,,,Agg+,532,,,,,,,,,,,,,,,,,
BRAC6521.7f,240,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC6521.7g,240,,,,,,Agg-,,Parental+,,,,,,,,,,,,,,,,
BRAC6521.7h,240,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC6589.8f,240,,,,,,Agg+,341,,,,,,,,,,,,,,,,,
BRAC6589.8g,240,,,,,,Agg+,458,,,,,,,,,,,,,,,,,
BRAC6691.6e,240,,,,,,Agg+,251,,,,,,,,,,,,,,,,,
BRAC6691.6f,240,,,,,,Agg+,230,,,,,,,,,,,,,,,,,
BRAC7193.1b,240,,,,,,Agg+,47,,,,,,,,,,,,,,,,,
BRAC7193.1c,240,,,,,,Agg+,160,,,,,,,,,,,,,,,,,
BRAC7193.1d,240,,,,,,Agg-,,,,,,,,,,,,,,,,,,
BRAC7036.5a,240,,,,,,Agg+,,,,,,,,,,,,,,,,,,
BRAC7036.5b,240,,,,,,Agg+,,,,,,,,,,,,,,,,,,
BRAC7036.5c,240,,,,,,Agg+,,,,,,,,,,,,,,,,,,
BRAC7036.5d,240,,,,,,Agg+,,,,,,,,,,,,,,,,,,
BRAC7087.4a,240,,,,,,Agg+,,,,,,,,,,,,,,,,,,
BRAC7087.4b,240,,,,,,Agg+,,,,,,,,,,,,,,,,,,
BRAC7087.4c,240,,,,,,Agg+,,,,,,,,,,,,,,,,,,
BRAC4857.7j,360,M,,,,,Agg+,253,,,,18/09/20,,,,,,,,,,,,,
BRAC4742.4c,360,M,,,,,Agg-,,,,,18/09/20,,,,,,,,,,,,,
BRAC5178.2j,360,P,,,,,Agg+,191,,,,20/09/20,,,,,,,,,,,,,
BRAC5215.1d,360,M,,,,,Agg+,68,,,,24/10/20,,,,,,,,,,,,,
BRAC4892.5e,360,P,,,,,Agg+,75,,,,03/10/20,,,,,,,,,,,,,
BRAC4892.5d,360,M,,,,,Agg+,406,,,,03/10/20,,,,,,,,,,,,,
BRAC5801.3d,360,M,,,,,Agg+,270,,,,20/07/21,,,,,,,,,,,1,,20/07/21
BRAC5801.3c,360,E,,,,,Agg+,131,,,,20/07/21,,,,,,,,,,,1,,20/07/21
BRAC5491.5f,360,D,,,,,Agg-,,,,,20/07/21,,,,,,,,,,,1,,20/07/21
BRAC5626.4e,360,M,,,,,Agg+,40,,,,20/07/21,,,,,,,,,,,1,,20/07/21
BRAC5626.4h,360,D,,,,,Agg+,133,,,,21/07/21,,,,,,,,,,,1,,21/07/21
BRAC5679.4b,360,P,,,,,Agg+,84,,,,21/07/21,,,,,,,,,,,1,,21/07/21
BRAC5679.4c,360,M,,,,,Agg-,,,,,21/07/21,,,,,,,,,,,1,,21/07/21
BRAC5740.4d,360,E,,,,,Agg-,,,,,21/07/21,,,,,,,,,,,1,,21/07/21
BRAC5626.4f,360,M,,,,,Agg+,446,,,,21/07/21,,,,,,,,,,,1,,21/07/21
BRAC5626.4g,360,D,,,,,Agg+,152,,,,21/07/21,,,,,,,,,,,1,,21/07/21
BRAC5370.6e,360,D,,,,,Agg-,,,,,22/07/21,,,,,,,,,,,1,,22/07/21
BRAC5539.5g,360,D,,,,,Agg-,,,,,22/07/21,,,,,,,,,,,1,,22/07/21
BRAC5539.5h,360,M,,,,,Agg-,,,,,22/07/21,,,,,,,,,,,1,,22/07/21
BRAC5539.5i,360,D,,,,,Agg+,,,,,22/07/21,,,,,,,,,,,1,,22/07/21
BRAC5858.2g,360,D,,,,,Agg+,58,,,,22/07/21,,,,,,,,,,,1,,22/07/21
